"Atributo (Back-end)","Tipo (Back-end)","Atributo (Front-end)","Tipo (Front-end)","Observações / Correções Sugeridas","Status"
"id","Long","id","string","OK: Exibição no front como string.","Consistente"
"name","String","name, surname","string, string","Divergência: o back não possui surname. Concatenar name + surname no envio, ou evoluir o back.","Crítico"
"email","String (único, obrigatório)","contactEmail","string (email)","Mapear contactEmail → email nas requisições. Email é único no back (validação).","Requer Mapeamento"
"username","String (único)","-","-","Faltando no Front (forms de usuário): necessário para registro/autenticação no back.","Crítico"
"password","String","-","-","Faltando no Front (forms de usuário): necessário no registro e fluxos de troca de senha.","Crítico"
"phone","String","phone","string","OK: Campos alinhados em semântica.","Consistente"
"cpfCnpj","String","cpf","string","Mapear cpf → cpfCnpj. Considerar aceitar CNPJ no front e validar máscara/formato.","Requer Mapeamento"
"location","String","locality","string","Mapear locality → location.","Requer Mapeamento"
"birthday","LocalDate","birthDate","string (ISO)","Mapear nomes e enviar no formato ISO (yyyy-MM-dd).","Requer Mapeamento"
"training","String","background","string","Mapear background (front, Formação) → training (back).","Requer Mapeamento"
"academicTitle","String","degree","string","Mapear degree (front, Título Acadêmico) → academicTitle (back).","Requer Mapeamento"
"imageProfileUrl","String (URL, único)","photo","File | null","Divergente: front envia arquivo; back espera URL. Implementar upload e enviar apenas a URL.","Crítico"
"active","boolean","-","-","Apenas no back. Usado na autenticação (isEnabled). Exposição opcional em telas administrativas.","Apenas Leitura"
"farmOwners (rel.)","List<FarmOwner>","-","-","Relação não exibida no front de usuário; sem impacto direto nos formulários.","Não Aplicável"
"color","-","color","string","Somente no front para exibição.","Front-only"
"items","-","items","Array<string>","Somente no front para exibição.","Front-only"
"enrollmentDate","-","enrollmentDate","string","Somente no front; back não expõe criado/atualizado para User.","Front-only"
