"Entidade","Atributo (Back-end)","Tipo (Back-end)","Atributo (Front-end)","Tipo (Front-end)","Observações / Correções Sugeridas","Status"
"EmissionBatch","id","Long","-","-","Exibir como string se necessário no front. Criado/gerido via endpoints de batch.","Consistente"
"EmissionBatch","field (Field)","ManyToOne","contexto do talhão/propriedade","number/string (route param)","Front precisa enviar fieldId ao criar batch (EmissionBatchRequest).","Crítico"
"EmissionBatch","emissionBatchName","String","nome do lote (ex.: no wizard inicial)","string","Front deve coletar e enviar em EmissionBatchRequest.","Requer Mapeamento"
"EmissionBatch","createdAt/updatedAt","LocalDateTime","-","-","Somente leitura no back; opcional exibir.","Apenas Leitura"
"EmissionBatch","co2, ch4, n2ho, hfc, pfc, sf6, nf3 (totais)","float","-","-","Calculados a partir das EmissionGHG associadas.","Apenas Leitura"
"EmissionBatch","co2eTotal, biogenicCo2Emissions, biogenicCo2Removals","float","-","-","Somente leitura; calculados.","Apenas Leitura"
"EmissionGHG","id","Long","-","-","Somente leitura, retornado após criação.","Apenas Leitura"
"EmissionGHG","emissionType","Enum (EmissionGHG.Types)","tipo (GHG step)","string/enum","Front deve permitir seleção do tipo de emissão conforme enum do back.","Crítico"
"EmissionGHG","co2 (obrig.)","float","co2","number","Obrigatório e >=0 no back (PositiveOrZero).","Requer Mapeamento"
"EmissionGHG","ch4, n2o (n2ho em DTO), sf6, nf3","float","ch4, n2o, sf6, nf3","number","Atentar: DTO usa campo 'n2ho' para N2O (nomenclatura divergente).","Requer Mapeamento"
"EmissionGHG","emiCo2Bio, remoCo2Bio","float","biogênico: emissões/remoções","number","Coletar no front se aplicável; back valida >=0.","Requer Mapeamento"
"EmissionGHG","hfc, hfc23, hfc32, ..., hfc4310mee","float","HFCs (grupo)","number","Front ainda não possui formulário detalhado; sugerir schema para gases específicos.","Faltando no Front"
"EmissionGHG","pfc, pfc14, pfc116, ..., pfc918","float","PFCs (grupo)","number","Mesmo caso dos HFCs.","Faltando no Front"
"EmissionGHG","trifluorometilPentafluoretoEnxofre, perfluorociclopropano","float","Outros PFCs especiais","number","Cobrir no form avançado.","Faltando no Front"
"EmissionGHG","co2eT, totalBiogenicRemoval, totalCatCO2Biomassa","float","-","-","Campos de cálculo/agregação; somente leitura.","Apenas Leitura"
"Requests","EmissionBatchRequest.fieldId","Long","fieldId","number","Obrigatório para criar o lote.","Crítico"
"Requests","EmissionBatchRequest.emissionBatchName","String","batchName/nome","string","Obrigatório.","Requer Mapeamento"
"Requests","EmissionGHGRequest.emissionBatchId","Long","emissionBatchId","number","Obrigatório para associar a um lote.","Crítico"
"Requests","EmissionGHGRequest.emissionType","Enum","emissionType","enum","Obrigatório; alinhar enum no front.","Crítico"
"Front (forms)","GHGCommonData: period, manager, description","string","period, manager, description","string","Existem no front; back não consome diretamente nesses endpoints de GHG. Usar como metadados do lote/relatório.","Front-only"
